Nome do Repositório,Descrição,URL,Criado em,Idade do Repositório (dias),Última Atualização,Tempo desde última atualização (dias),Linguagem Principal,Total PRs Mesclados,Total de Releases,Total de Issues,Total de Issues Fechadas
architect-awesome,后端架构师技术图谱,https://github.com/xingshaocheng/architect-awesome,06-04-2018,2516,11-04-2024,319,N/A,49,0,71,22
Front-end-Developer-Interview-Questions,"A list of helpful front-end related questions you can use to interview potential candidates, test yourself or completely ignore.",https://github.com/h5bp/Front-end-Developer-Interview-Questions,09-02-2012,4764,01-11-2024,115,Nunjucks,484,0,176,142
design-resources-for-developers,"Curated list of design and UI resources from stock photos, web templates, CSS frameworks, UI libraries, tools and much more",https://github.com/bradtraversy/design-resources-for-developers,06-05-2020,1755,19-02-2025,5,N/A,939,0,100,100
markdown-here,"Google Chrome, Firefox, and Thunderbird extension that lets you write email in Markdown and render it before sending.",https://github.com/adam-p/markdown-here,13-05-2012,4670,11-12-2024,75,JavaScript,25,14,624,319
awesome-nodejs,:zap: Delightful Node.js packages and resources,https://github.com/sindresorhus/awesome-nodejs,11-07-2014,3881,17-12-2024,69,N/A,414,0,102,100
jquery,jQuery JavaScript Library,https://github.com/jquery/jquery,03-04-2009,5806,18-02-2025,6,JavaScript,784,10,2346,2267
awesome-courses,:books: List of awesome university courses for learning Computer Science!,https://github.com/prakhar1989/awesome-courses,15-11-2014,3754,04-05-2023,662,N/A,194,0,79,39
new-pac,翻墙-科学上网、自由上网、免费科学上网、免费翻墙、fanqiang、油管youtube/视频下载、软件、VPN、一键翻墙浏览器，vps一键搭建翻墙服务器脚本/教程，免费shadowsocks/ss/ssr/v2ray/goflyway账号/节点，翻墙梯子，电脑、手机、iOS、安卓、windows、Mac、Linux、路由器翻墙、科学上网、youtube视频下载、youtube油管镜像/免翻墙网站、美区apple id共享账号、翻墙-科学上网-梯子,https://github.com/Alvin9999/new-pac,23-03-2016,3260,24-02-2025,0,Python,0,0,1705,1284
immich,High performance self-hosted photo and video management solution.,https://github.com/immich-app/immich,03-02-2022,1117,24-02-2025,0,TypeScript,5529,233,4817,4375
angular.js,AngularJS - HTML enhanced for web apps!,https://github.com/angular/angular.js,06-01-2010,5528,12-04-2024,318,JavaScript,789,0,9038,8647
annotated_deep_learning_paper_implementations,"🧑‍🏫 60+ Implementations/tutorials of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, sophia, ...), gans(cyclegan, stylegan2, ...), 🎮 reinforcement learning (ppo, dqn), capsnet, distillation, ... 🧠",https://github.com/labmlai/annotated_deep_learning_paper_implementations,25-08-2020,1644,24-08-2024,184,Python,102,0,135,105
shadowsocks-windows,A C# port of shadowsocks,https://github.com/shadowsocks/shadowsocks-windows,14-01-2013,4424,01-01-2025,54,C#,290,55,2922,2743
docusaurus,Easy to maintain open source documentation websites.,https://github.com/facebook/docusaurus,20-06-2017,2806,21-02-2025,3,TypeScript,5342,149,3203,2918
open-interpreter,A natural language interface for computers,https://github.com/OpenInterpreter/open-interpreter,14-07-2023,591,24-01-2025,31,Python,367,48,1001,792
act,Run your GitHub Actions locally 🚀,https://github.com/nektos/act,02-01-2019,2245,22-02-2025,2,Go,1004,82,1211,1017
localsend,An open-source cross-platform alternative to AirDrop,https://github.com/localsend/localsend,16-12-2022,801,23-02-2025,1,Dart,651,24,1191,600
localstack,💻 A fully functional local AWS cloud stack. Develop and test your cloud & Serverless apps offline,https://github.com/localstack/localstack,25-10-2016,3044,23-02-2025,1,Python,5722,88,5828,5562
fuel-core,Rust full node implementation of the Fuel v2 protocol.,https://github.com/FuelLabs/fuel-core,27-08-2020,1642,23-02-2025,1,Rust,1375,113,1011,867
alacritty,"A cross-platform, OpenGL terminal emulator.",https://github.com/alacritty/alacritty,18-02-2016,3294,20-02-2025,4,Rust,1860,101,5999,5682
llama,Inference code for Llama models,https://github.com/meta-llama/llama,14-02-2023,741,26-01-2025,29,Python,54,0,1068,647
spring-framework,Spring Framework,https://github.com/spring-projects/spring-framework,08-12-2010,5192,23-02-2025,1,Java,851,324,26457,26200
prometheus,The Prometheus monitoring system and time series database.,https://github.com/prometheus/prometheus,24-11-2012,4475,22-02-2025,2,Go,7129,327,5922,5394
lazygit,simple terminal UI for git commands,https://github.com/jesseduffield/lazygit,19-05-2018,2473,23-02-2025,1,Go,1497,158,2109,1371
html5-boilerplate,"A professional front-end template for building fast, robust, and adaptable web apps or sites.",https://github.com/h5bp/html5-boilerplate,24-01-2010,5510,05-02-2025,19,JavaScript,773,34,1349,1343
rustlings,:crab: Small exercises to get you used to reading and writing Rust code!,https://github.com/rust-lang/rustlings,15-09-2015,3450,21-02-2025,3,Rust,904,45,701,667
rails,Ruby on Rails,https://github.com/rails/rails,11-04-2008,6163,23-02-2025,1,Ruby,24692,145,17988,17479
nerd-fonts,"Iconic font aggregator, collection, & patcher. 3,600+ icons, 50+ patched fonts: Hack, Source Code Pro, more. Glyph collections: Font Awesome, Material Design Icons, Octicons, & more",https://github.com/ryanoasis/nerd-fonts,05-12-2014,3734,21-02-2025,3,CSS,521,37,1033,1019
nuxt,The Intuitive Vue Framework.,https://github.com/nuxt/nuxt,26-10-2016,3043,23-02-2025,1,TypeScript,6155,234,15895,15057
lobe-chat,"🤯 Lobe Chat - an open-source, modern-design AI chat framework. Supports Multi AI Providers( OpenAI / Claude 3 / Gemini / Ollama / Qwen /  DeepSeek), Knowledge Base (file upload / knowledge management / RAG ), Multi-Modals (Vision/TTS/Plugins/Artifacts). One-click FREE deployment of your private ChatGPT/ Claude application.",https://github.com/lobehub/lobe-chat,21-05-2023,645,24-02-2025,0,TypeScript,1810,1000,3182,2657
gatsby,"The best React-based framework with performance, scalability and security built in.",https://github.com/gatsbyjs/gatsby,21-05-2015,3567,24-02-2025,0,JavaScript,18147,149,14089,13882
DeepLearning-500-questions,深度学习500问，以问答形式对常用的概率知识、线性代数、机器学习、深度学习、计算机视觉等热点问题进行阐述，以帮助自己及有需要的读者。 全书分为18个章节，50余万字。由于水平有限，书中不妥之处恳请广大读者批评指正。   未完待续............ 如有意合作，联系scutjy2015@163.com                     版权所有，违权必究       Tan 2018.06,https://github.com/scutan90/DeepLearning-500-questions,27-06-2018,2434,26-06-2024,243,JavaScript,302,0,191,81
private-gpt,"Interact with your documents using the power of GPT, 100% privately, no data leaks",https://github.com/zylon-ai/private-gpt,02-05-2023,664,13-11-2024,103,Python,226,10,1200,961
you-get,:arrow_double_down: Dumb downloader that scrapes the web,https://github.com/soimort/you-get,20-08-2012,4571,04-01-2025,51,Python,582,123,0,0
leetcode,LeetCode Solutions: A Record of My Problem Solving Journey.( leetcode题解，记录自己的leetcode解题之路。),https://github.com/azl397985856/leetcode,30-03-2018,2523,22-02-2025,2,JavaScript,257,40,257,248
awesome-flutter,"An awesome list that curates the best Flutter libraries, tools, tutorials, articles and more.",https://github.com/Solido/awesome-flutter,07-05-2017,2850,12-12-2024,74,Dart,444,0,0,0
zed,"Code at the speed of thought – Zed is a high-performance, multiplayer code editor from the creators of Atom and Tree-sitter.",https://github.com/zed-industries/zed,20-02-2021,1465,24-02-2025,0,Rust,10968,728,10961,8099
ghidra,Ghidra is a software reverse engineering (SRE) framework,https://github.com/NationalSecurityAgency/ghidra,01-03-2019,2187,20-02-2025,4,Java,496,42,5176,3737
awesome-chatgpt-prompts-zh,ChatGPT 中文调教指南。各种场景使用指南。学习怎么让它听你的话。,https://github.com/PlexPt/awesome-chatgpt-prompts-zh,12-12-2022,805,01-01-2025,54,N/A,33,0,96,58
scrapy,"Scrapy, a fast high-level web crawling & scraping framework for Python.",https://github.com/scrapy/scrapy,22-02-2010,5481,19-02-2025,5,Python,2253,39,3092,2656
face_recognition,The world's simplest facial recognition api for Python and the command line,https://github.com/ageitgey/face_recognition,03-03-2017,2915,21-08-2024,187,Python,94,2,1353,594
element,A Vue.js 2.0 UI Toolkit for Web,https://github.com/ElemeFE/element,03-09-2016,3096,20-08-2024,188,Vue,3231,145,17809,15250
react-router,Declarative routing for React,https://github.com/remix-run/react-router,16-05-2014,3937,23-02-2025,1,TypeScript,2738,293,7829,7627
leetcode-master,《代码随想录》LeetCode 刷题攻略：200道经典题目刷题顺序，共60w字的详细图解，视频难点剖析，50余张思维导图，支持C++，Java，Python，Go，JavaScript等多语言版本，从此算法学习不再迷茫！🔥🔥 来看看，你会发现相见恨晚！🚀 ,https://github.com/youngyangyang04/leetcode-master,14-12-2019,1899,16-02-2025,8,Shell,2290,0,249,64
tldr,📚 Collaborative cheatsheets for console commands,https://github.com/tldr-pages/tldr,08-12-2013,4096,24-02-2025,0,Markdown,12924,5,1416,1239
ChatGPT,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)",https://github.com/lencx/ChatGPT,07-12-2022,810,29-08-2024,179,Rust,123,34,1130,350
git,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.,https://github.com/git/git,23-07-2008,6060,22-02-2025,2,C,3,0,0,0
Real-Time-Voice-Cloning,Clone a voice in 5 seconds to generate arbitrary speech in real-time,https://github.com/CorentinJ/Real-Time-Voice-Cloning,26-05-2019,2101,14-08-2024,194,Python,48,0,1088,890
Prompt-Engineering-Guide,"🐙 Guides, papers, lecture, notebooks and resources for prompt engineering",https://github.com/dair-ai/Prompt-Engineering-Guide,16-12-2022,801,21-01-2025,34,MDX,302,0,207,70
traefik,The Cloud Native Application Proxy,https://github.com/traefik/traefik,13-09-2015,3452,24-02-2025,0,Go,4493,459,6158,5539
faceswap,Deepfakes Software For All,https://github.com/deepfakes/faceswap,19-12-2017,2624,19-11-2024,97,Python,357,4,873,844
gpt-engineer,Platform to experiment with the AI Software Engineer. Terminal based. NOTE: Very different from https://gptengineer.app,https://github.com/AntonOsika/gpt-engineer,29-04-2023,667,17-11-2024,99,Python,351,20,488,469
normalize.css,A modern alternative to CSS resets,https://github.com/necolas/normalize.css,04-05-2011,5045,12-06-2024,257,CSS,56,0,512,461
weekly,科技爱好者周刊，每周五发布,https://github.com/ruanyf/weekly,13-10-2018,2326,22-02-2025,2,N/A,93,0,5876,936
drawio-desktop,Official electron build of draw.io,https://github.com/jgraph/drawio-desktop,25-05-2017,2832,21-02-2025,3,JavaScript,20,150,1531,1451
openpilot,"openpilot is an operating system for robotics. Currently, it upgrades the driver assistance system on 275+ supported cars.",https://github.com/commaai/openpilot,24-11-2016,3014,24-02-2025,0,Python,10892,55,2886,2775
requests,"A simple, yet elegant, HTTP library.",https://github.com/psf/requests,13-02-2011,5125,20-02-2025,4,Python,1567,12,4012,3823
yolov5,YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite,https://github.com/ultralytics/yolov5,18-05-2020,1743,30-01-2025,25,Python,2178,10,9361,9159
mkcert,A simple zero-config tool to make locally trusted development certificates with any names you'd like.,https://github.com/FiloSottile/mkcert,25-06-2018,2436,13-08-2024,195,Go,52,14,340,239
nocodb,🔥 🔥 🔥 Open Source Airtable Alternative,https://github.com/nocodb/nocodb,29-10-2017,2675,23-02-2025,1,TypeScript,4392,162,3808,3198
Stirling-PDF,#1 Locally hosted web application that allows you to perform various operations on PDF files,https://github.com/Stirling-Tools/Stirling-PDF,27-01-2023,759,24-02-2025,0,Java,1499,112,1108,912
hackingtool,ALL IN ONE Hacking Tool For Hackers,https://github.com/Z4nzu/hackingtool,11-04-2020,1780,31-07-2024,208,Python,55,0,364,318
awesome-android-ui,A curated list of awesome Android UI/UX libraries,https://github.com/wasabeef/awesome-android-ui,24-12-2014,3715,06-07-2024,233,N/A,90,0,109,93
ionic-framework,"A powerful cross-platform UI toolkit for building native-quality iOS, Android, and Progressive Web Apps with HTML, CSS, and JavaScript.",https://github.com/ionic-team/ionic-framework,20-08-2013,4206,21-02-2025,3,TypeScript,6041,889,21908,21373
bat,A cat(1) clone with wings.,https://github.com/sharkdp/bat,21-04-2018,2501,23-02-2025,1,Rust,1387,41,1451,1153
Semantic-UI,Semantic is a UI component framework based around useful principles from natural language.,https://github.com/Semantic-Org/Semantic-UI,08-04-2013,4340,27-11-2024,89,JavaScript,357,154,6233,5266
material-design-icons,Material Design icons by Google (Material Symbols),https://github.com/google/material-design-icons,08-10-2014,3792,14-02-2025,10,N/A,48,16,1484,1145
project-layout,Standard Go Project Layout,https://github.com/golang-standards/project-layout,09-09-2017,2725,14-01-2025,41,Makefile,91,0,110,44
Magisk,The Magic Mask for Android,https://github.com/topjohnwu/Magisk,08-09-2016,3091,23-02-2025,1,C++,1532,143,6031,6000
anime,JavaScript animation engine,https://github.com/juliangarnier/anime,13-03-2016,3270,10-11-2024,106,JavaScript,72,15,720,509
rich,Rich is a Python library for rich text and beautiful formatting in the terminal.,https://github.com/Textualize/rich,10-11-2019,1933,02-12-2024,84,Python,806,168,1364,1168
guava,Google core libraries for Java,https://github.com/google/guava,29-05-2014,3924,21-02-2025,3,Java,827,48,3600,2970
pi-hole,A black hole for Internet advertisements,https://github.com/pi-hole/pi-hole,08-06-2014,3914,23-02-2025,1,Shell,1983,111,2929,2892
ripgrep,ripgrep recursively searches directories for a regex pattern while respecting your gitignore,https://github.com/BurntSushi/ripgrep,11-03-2016,3272,25-01-2025,30,Rust,510,72,1661,1544
zustand,🐻 Bear necessities for state management in React,https://github.com/pmndrs/zustand,09-04-2019,2148,20-02-2025,4,TypeScript,743,92,686,683
minio,"MinIO is a high-performance, S3 compatible object store, open sourced under GNU AGPLv3 license.",https://github.com/minio/minio,14-01-2015,3694,19-02-2025,5,Go,9753,510,7622,7597
grok-1,Grok open release,https://github.com/xai-org/grok-1,17-03-2024,344,30-08-2024,178,Python,5,0,220,140
kotlin,The Kotlin Programming Language. ,https://github.com/JetBrains/kotlin,13-02-2012,4760,23-02-2025,1,Kotlin,2063,248,0,0
prettier,Prettier is an opinionated code formatter.,https://github.com/prettier/prettier,29-11-2016,3009,22-02-2025,2,JavaScript,8465,123,6789,5599
uBlock,uBlock Origin - An efficient blocker for Chromium and Firefox. Fast and lean.,https://github.com/gorhill/uBlock,01-04-2015,3617,23-02-2025,1,JavaScript,247,273,3445,3433
pdf.js,PDF Reader in JavaScript,https://github.com/mozilla/pdf.js,26-04-2011,5053,23-02-2025,1,JavaScript,7778,70,10087,9702
Docker-OSX,Run macOS VM in a Docker! Run near native OSX-KVM in Docker! X11 Forwarding! CI/CD for OS X Security Research! Docker mac Containers.,https://github.com/sickcodes/Docker-OSX,04-06-2020,1726,18-11-2024,98,Shell,105,0,646,275
github-cheat-sheet,A list of cool features of Git and GitHub.,https://github.com/tiimgreen/github-cheat-sheet,12-04-2014,3971,15-04-2024,315,N/A,129,0,70,48
jekyll,:globe_with_meridians: Jekyll is a blog-aware static site generator in Ruby,https://github.com/jekyll/jekyll,20-10-2008,5971,05-02-2025,19,Ruby,3178,112,4871,4765
dive,A tool for exploring each layer in a docker image,https://github.com/wagoodman/dive,13-05-2018,2479,15-07-2024,224,Go,141,26,337,167
bulma,Modern CSS framework based on Flexbox,https://github.com/jgthms/bulma,23-01-2016,3320,05-02-2025,19,CSS,638,21,2694,2380
meilisearch,A lightning-fast search engine API bringing AI-powered hybrid search to your sites and applications.,https://github.com/meilisearch/meilisearch,23-04-2018,2499,20-02-2025,4,Rust,1927,240,2134,1950
astro,The web framework for content-driven websites. ⭐️ Star to support our work!,https://github.com/withastro/astro,15-03-2021,1442,24-02-2025,0,TypeScript,6835,1000,5191,5044
DefinitelyTyped,The repository for high quality TypeScript type definitions.,https://github.com/DefinitelyTyped/DefinitelyTyped,05-10-2012,4525,24-02-2025,0,TypeScript,51045,1,8078,7514
langflow,"Langflow is a low-code app builder for RAG and multi-agent AI applications. It’s Python-based and agnostic to any model, API, or database.",https://github.com/langflow-ai/langflow,08-02-2023,747,23-02-2025,1,Python,3371,249,1973,1668
rclone,"""rsync for cloud storage"" - Google Drive, S3, Dropbox, Backblaze B2, One Drive, Swift, Hubic, Wasabi, Google Cloud Storage, Azure Blob, Azure Files, Yandex Files",https://github.com/rclone/rclone,16-03-2014,3998,21-02-2025,3,Go,2010,108,5623,4681
segment-anything,"The repository provides code for running inference with the SegmentAnything Model (SAM), links for downloading the trained model checkpoints, and example notebooks that show how to use the model.",https://github.com/facebookresearch/segment-anything,23-03-2023,704,18-09-2024,159,Jupyter Notebook,16,0,686,172
core,"🖖 Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web.",https://github.com/vuejs/core,12-06-2018,2449,24-02-2025,0,TypeScript,2961,238,5527,4877
awesome-rust,A curated list of Rust code and resources.,https://github.com/rust-unofficial/awesome-rust,17-07-2014,3875,23-02-2025,1,Rust,1479,0,136,126
trackerslist,Updated list of public BitTorrent trackers,https://github.com/ngosang/trackerslist,24-04-2016,3228,23-02-2025,1,N/A,1,0,463,456
chinese-poetry,"The most comprehensive database of Chinese poetry 🧶最全中华古诗词数据库,  唐宋两朝近一万四千古诗人,  接近5.5万首唐诗加26万宋诗.  两宋时期1564位词人，21050首词。",https://github.com/chinese-poetry/chinese-poetry,02-09-2016,3097,10-08-2024,198,JavaScript,135,1,205,91
marktext,"📝A simple and elegant markdown editor, available for Linux, macOS and Windows.",https://github.com/marktext/marktext,12-11-2017,2661,18-08-2024,190,JavaScript,939,36,2838,1629
Ghost,"Independent technology for modern publishing, memberships, subscriptions and newsletters.",https://github.com/TryGhost/Ghost,04-05-2013,4314,24-02-2025,0,JavaScript,12273,845,6997,6952
etcd,Distributed reliable key-value store for the most critical data of a distributed system,https://github.com/etcd-io/etcd,06-07-2013,4251,23-02-2025,1,Go,9193,243,6797,6510
go-ethereum,Go implementation of the Ethereum protocol,https://github.com/ethereum/go-ethereum,26-12-2013,4078,23-02-2025,1,Go,7780,207,8238,8048
awesome-ios,"A curated list of awesome iOS ecosystem, including Objective-C and Swift Projects ",https://github.com/vsouza/awesome-ios,10-07-2014,3882,04-02-2025,20,Swift,2233,0,485,485
cypress,"Fast, easy and reliable testing for anything that runs in a browser.",https://github.com/cypress-io/cypress,04-03-2015,3645,24-02-2025,0,TypeScript,6630,358,14786,13398
clash-verge-rev,"A modern GUI client based on Tauri, designed to run in Windows, macOS and Linux for tailored proxy experience",https://github.com/clash-verge-rev/clash-verge-rev,21-11-2023,461,23-02-2025,1,TypeScript,136,42,2421,2238
moment,"Parse, validate, manipulate, and display dates in javascript.",https://github.com/moment/moment,01-03-2011,5109,14-08-2024,194,JavaScript,714,0,4137,3905
RxJava,RxJava – Reactive Extensions for the JVM – a library for composing asynchronous and event-based programs using observable sequences for the Java VM.,https://github.com/ReactiveX/RxJava,08-01-2013,4430,20-02-2025,4,Java,3292,235,3167,3156
powerlevel10k,A Zsh theme,https://github.com/romkatv/powerlevel10k,24-02-2019,2192,29-01-2025,26,Shell,167,33,2529,2446
hacker-scripts,Based on a true story,https://github.com/NARKOZ/hacker-scripts,21-11-2015,3383,23-10-2023,490,JavaScript,63,0,87,52
FFmpeg,Mirror of https://git.ffmpeg.org/ffmpeg.git,https://github.com/FFmpeg/FFmpeg,14-04-2011,5065,23-02-2025,1,C,16,0,0,0
joplin,"Joplin - the privacy-focused note taking app with sync capabilities for Windows, macOS, Linux, Android and iOS.",https://github.com/laurent22/joplin,16-01-2017,2961,24-02-2025,0,TypeScript,3837,369,6818,6345
mastodon,"Your self-hosted, globally interconnected microblogging community",https://github.com/mastodon/mastodon,22-02-2016,3290,23-02-2025,1,Ruby,16594,262,11802,7903
OpenHands,"🙌 OpenHands: Code Less, Make More",https://github.com/All-Hands-AI/OpenHands,13-03-2024,348,24-02-2025,0,Python,3441,42,2264,2024
hiring-without-whiteboards,⭐️  Companies that don't have a broken hiring process,https://github.com/poteto/hiring-without-whiteboards,15-03-2017,2903,07-02-2025,17,JavaScript,1297,0,0,0
dayjs,⏰ Day.js 2kB immutable date-time library alternative to Moment.js with the same modern API,https://github.com/iamkun/dayjs,10-04-2018,2512,21-02-2025,3,JavaScript,695,119,1716,840
MetaGPT,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming",https://github.com/geekan/MetaGPT,30-06-2023,605,19-02-2025,5,Python,646,21,770,721
appwrite,Build like a team of hundreds_,https://github.com/appwrite/appwrite,08-04-2019,2149,24-02-2025,0,TypeScript,3326,104,3839,3259
professional-programming,A collection of learning resources for curious software engineers,https://github.com/charlax/professional-programming,07-11-2015,3397,15-02-2025,9,Python,38,0,28,28
gitea,"Git with a cup of tea! Painless self-hosted all-in-one software development service, including Git hosting, code review, team collaboration, package registry and CI/CD",https://github.com/go-gitea/gitea,01-11-2016,3037,24-02-2025,0,Go,16986,205,14178,11631
starship,"☄🌌️  The minimal, blazing-fast, and infinitely customizable prompt for any shell!",https://github.com/starship/starship,02-04-2019,2155,24-02-2025,0,Rust,2784,134,2380,1722
ImHex,"🔍 A Hex Editor for Reverse Engineers, Programmers and people who value their retinas when working at 3 AM.",https://github.com/WerWolv/ImHex,10-11-2020,1567,23-02-2025,1,C++,594,76,1276,1070
algorithm-visualizer,:fireworks:Interactive Online Platform that Visualizes Algorithms from Code,https://github.com/algorithm-visualizer/algorithm-visualizer,15-05-2016,3207,09-06-2024,260,JavaScript,183,0,114,75
first-contributions,🚀✨ Help beginners to contribute to open source projects,https://github.com/firstcontributions/first-contributions,20-09-2016,3079,24-02-2025,0,N/A,79726,0,857,830
big-list-of-naughty-strings,The Big List of Naughty Strings is a list of strings which have a high probability of causing issues when used as user-input data.,https://github.com/minimaxir/big-list-of-naughty-strings,08-08-2015,3488,18-04-2024,312,Python,90,0,101,32
llm-course,Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.,https://github.com/mlabonne/llm-course,17-06-2023,618,22-01-2025,33,Jupyter Notebook,1,0,74,27
awesome-wechat-weapp,微信小程序开发资源汇总 :100:,https://github.com/justjavac/awesome-wechat-weapp,22-09-2016,3077,20-02-2025,4,N/A,277,0,0,0
Motrix,A full-featured download manager.,https://github.com/agalwood/Motrix,18-12-2018,2260,11-07-2024,228,JavaScript,192,21,1325,589
PaddleOCR,"Awesome multilingual OCR toolkits based on PaddlePaddle (practical ultra lightweight OCR system, support 80+ languages recognition, provide data annotation and synthesis tools, support training and deployment among server, mobile, embedded and IoT devices)",https://github.com/PaddlePaddle/PaddleOCR,08-05-2020,1753,22-02-2025,2,Python,2597,16,9445,9417
serverless,"⚡ Serverless Framework – Effortlessly build apps that auto-scale, incur zero costs when idle, and require minimal maintenance using AWS Lambda and other managed cloud services.",https://github.com/serverless/serverless,21-04-2015,3597,17-02-2025,7,JavaScript,4721,431,6447,5319
PowerShell,PowerShell for every system!,https://github.com/PowerShell/PowerShell,13-01-2016,3330,21-02-2025,3,C#,7284,181,12698,11706
alist,"🗂️A file list/WebDAV program that supports multiple storages, powered by Gin and Solidjs. / 一个支持多存储的文件列表/WebDAV程序，使用 Gin 和 Solidjs。",https://github.com/AlistGo/alist,23-12-2020,1524,16-02-2025,8,Go,778,124,3974,3612
100-Days-Of-ML-Code,100 Days of ML Coding,https://github.com/Avik-Jain/100-Days-Of-ML-Code,05-07-2018,2426,29-12-2023,423,N/A,6,0,0,0
julia,The Julia Programming Language,https://github.com/JuliaLang/julia,21-04-2011,5058,23-02-2025,1,Julia,24932,171,24712,20721
okhttp,"Square’s meticulous HTTP client for the JVM, Android, and GraalVM.",https://github.com/square/okhttp,23-07-2012,4599,24-02-2025,0,Kotlin,3517,0,4115,3970
design-patterns-for-humans,An ultra-simplified explanation to design patterns,https://github.com/kamranahmedse/design-patterns-for-humans,16-02-2017,2930,02-12-2024,84,N/A,50,0,52,47
react,Cheatsheets for experienced React developers getting started with TypeScript,https://github.com/typescript-cheatsheets/react,02-06-2018,2459,11-01-2025,44,JavaScript,370,0,216,212
AFFiNE,"There can be more than Notion and Miro. AFFiNE(pronounced [ə‘fain]) is a next-gen knowledge base that brings planning, sorting and creating all together. Privacy first, open-source, customizable and ready to use. ",https://github.com/toeverything/AFFiNE,31-07-2022,939,24-02-2025,0,TypeScript,6418,426,2442,2100
learn-regex,Learn regex the easy way,https://github.com/ziishaned/learn-regex,22-07-2017,2774,05-02-2025,19,N/A,124,0,86,35
Projects,:page_with_curl: A list of practical projects that anyone can solve in any programming language.,https://github.com/karan/Projects,04-07-2013,4253,14-08-2024,194,N/A,19,0,74,33
v2ray-core,A platform for building proxies to bypass network restrictions.,https://github.com/v2ray/v2ray-core,04-09-2015,3461,21-01-2025,34,Go,203,247,2584,2576
gogs,Gogs is a painless self-hosted Git service,https://github.com/gogs/gogs,12-02-2014,4030,13-02-2025,11,Go,1739,82,5119,4216
x64dbg,An open-source user mode debugger for Windows. Optimized for reverse engineering and malware analysis.,https://github.com/x64dbg/x64dbg,11-04-2015,3607,25-01-2025,30,C++,698,2,2541,1918
huginn,Create agents that monitor and act on your behalf.  Your agents are standing by!,https://github.com/huginn/huginn,10-03-2013,4369,22-02-2025,2,Ruby,1041,1,2154,1568
architecture-samples,A collection of samples to discuss and showcase different architectural tools and patterns for Android apps.,https://github.com/android/architecture-samples,05-02-2016,3307,21-02-2025,3,Kotlin,231,0,480,346
30-Days-Of-Python,"30 days of Python programming challenge is a step-by-step guide to learn the Python programming language in 30 days. This challenge may take more than100 days, follow your own pace.  These videos may help too: https://www.youtube.com/channel/UC7PNRuno1rzYPb1xLa4yktw",https://github.com/Asabeneh/30-Days-Of-Python,19-11-2019,1924,11-02-2025,13,Python,55,0,128,75
quill,Quill is a modern WYSIWYG editor built for compatibility and extensibility,https://github.com/slab/quill,30-07-2012,4592,30-11-2024,86,TypeScript,379,95,3709,3262
pandas,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R data.frame objects, statistical functions, and much more",https://github.com/pandas-dev/pandas,24-08-2010,5298,22-02-2025,2,Python,26501,109,27216,23598
pixijs,"The HTML5 Creation Engine: Create beautiful digital content with the fastest, most flexible 2D WebGL renderer.",https://github.com/pixijs/pixijs,21-01-2013,4417,21-02-2025,3,TypeScript,3569,283,5836,5461
meteor,"Meteor, the JavaScript App Platform",https://github.com/meteor/meteor,19-01-2012,4785,21-02-2025,3,JavaScript,2398,0,9153,8879
jest,Delightful JavaScript Testing.,https://github.com/jestjs/jest,10-12-2013,4094,21-02-2025,3,TypeScript,5593,203,7991,7719
json,JSON for Modern C++,https://github.com/nlohmann/json,04-07-2013,4253,21-02-2025,3,C++,807,44,2283,2233
type-challenges,Collection of TypeScript type challenges with online judge,https://github.com/type-challenges/type-challenges,23-07-2020,1677,14-02-2025,10,TypeScript,574,0,35002,3643
AdminLTE,AdminLTE - Free admin dashboard template based on Bootstrap 5,https://github.com/ColorlibHQ/AdminLTE,25-12-2013,4079,01-02-2025,23,Astro,1539,75,2863,2734
terraform,"Terraform enables you to safely and predictably create, change, and improve infrastructure. It is a source-available tool that codifies APIs into declarative configuration files that can be shared amongst team members, treated as code, edited, reviewed, and versioned.",https://github.com/hashicorp/terraform,13-03-2014,4001,22-02-2025,2,Go,12206,349,21259,19450
Deep-Live-Cam,real time face swap and one-click video deepfake with only a single image,https://github.com/hacksider/Deep-Live-Cam,24-09-2023,519,19-02-2025,5,Python,69,4,646,634
open-source-ios-apps,:iphone: Collaborative List of Open-Source iOS Apps,https://github.com/dkhamsing/open-source-ios-apps,26-01-2015,3682,21-02-2025,3,N/A,1250,37,300,300
30-Days-Of-JavaScript,"30 days of JavaScript programming challenge is a step-by-step guide to learn JavaScript programming language in 30 days. This challenge may take more than 100 days,  please just follow your own pace. These videos may help too: https://www.youtube.com/channel/UC7PNRuno1rzYPb1xLa4yktw",https://github.com/Asabeneh/30-Days-Of-JavaScript,23-12-2019,1890,11-02-2025,13,JavaScript,98,0,168,59
